,popularity
popularity,1.0
track_genre_pop-film,0.10984350095652694
track_genre_k-pop,0.09977623953778259
track_genre_chill,0.0860903311574612
track_genre_sad,0.0807256237738676
track_genre_grunge,0.06897978252912437
track_genre_indian,0.06874781798030567
track_genre_anime,0.06551296690859261
track_genre_emo,0.06279687291878465
track_genre_sertanejo,0.061691878158957
track_genre_pop,0.060468792356094515
track_genre_progressive-house,0.05641573905763905
time_signature_4,0.05630946393423944
track_genre_piano,0.05075580406645613
loudness,0.05042303610049743
track_genre_mandopop,0.04970985482814498
track_genre_deep-house,0.048794649244620965
track_genre_brazil,0.04821262910394812
track_genre_electronic,0.04675757875226488
track_genre_pagode,0.04664370524648334
track_genre_ambient,0.04619242876059786
track_genre_british,0.04455180676985907
track_genre_metal,0.04414270565648941
explicit,0.044081760147701
track_genre_metalcore,0.043181107163203815
track_genre_psych-rock,0.04023304862457686
track_genre_hard-rock,0.04022039601282116
track_genre_acoustic,0.0389888751354557
track_genre_dubstep,0.03828876395174673
track_genre_world-music,0.036416177412191185
track_genre_forro,0.03621795316138034
danceability,0.03544813475138568
track_genre_gospel,0.03542927369539543
track_genre_j-pop,0.03333737521877674
track_genre_french,0.033016842387678665
track_genre_garage,0.03245169239601094
track_genre_mpb,0.03185701964358686
track_genre_turkish,0.031460571141967396
track_genre_j-rock,0.031317174875426165
track_genre_indie-pop,0.031287652114666484
track_genre_dub,0.02868121409339051
track_genre_techno,0.024476329453890437
track_genre_indie,0.02385635147795664
track_genre_samba,0.02356534140761936
track_genre_punk,0.021308958978199337
track_genre_punk-rock,0.021076994429380286
track_genre_folk,0.020106960861590525
track_genre_spanish,0.01975268773248499
track_genre_groove,0.019343586619112913
track_genre_singer-songwriter,0.019292976172098516
track_genre_songwriter,0.0192929761720983
track_genre_hip-hop,0.01906522916053115
track_genre_trance,0.01854225454137579
key_4,0.018452112920293706
key_2,0.017224572646548236
track_genre_swedish,0.01660218740579828
track_genre_r-n-b,0.014544029227187795
track_genre_synth-pop,0.014075882592297338
tempo,0.013204659932994847
track_genre_hardcore,0.012089422546956566
track_genre_electro,0.011962896429418831
key_11,0.008663986930519557
track_genre_ska,0.007960453577978584
track_genre_sleep,0.0077284890291594716
track_genre_children,0.007627268135128925
track_genre_edm,0.0075640050763607705
time_signature_0,0.006339640275569263
track_genre_cantopop,0.006328266661743017
track_genre_trip-hop,0.00515157376864359
track_genre_rock-n-roll,0.005041917800111716
key_6,0.004251079430689847
track_genre_house,0.0038694424442621937
track_genre_minimal-techno,0.0033042924525961952
track_genre_alt-rock,0.002971107009745713
track_genre_disco,0.0011955238269670187
energy,0.0010561362996987062
track_genre_dancehall,0.0009635592781475605
track_genre_club,0.000419496972735452
key_1,-0.0005545939606154595
key_3,-0.0016676784722380574
key_8,-0.0032959901413861063
track_genre_funk,-0.0038655208745388032
key_5,-0.00412644102802391
track_genre_death-metal,-0.004510804073980044
liveness,-0.005387153831593454
key_9,-0.006175117916878846
duration_ms,-0.007101208619704387
track_genre_rockabilly,-0.007332336495068529
track_genre_show-tunes,-0.008403590956887832
track_genre_blues,-0.008648208117459397
key_10,-0.009217178281405615
track_genre_industrial,-0.009268186093393346
key_7,-0.010710841871999992
key_0,-0.011588791866269895
track_genre_malay,-0.012148764035999576
mode,-0.013930786753108272
track_genre_guitar,-0.015657755029044863
time_signature_1,-0.017323283334805997
track_genre_new-age,-0.017602039701871134
track_genre_goth,-0.018243105364064337
track_genre_salsa,-0.021815359415875632
track_genre_disney,-0.024050654159040216
acousticness,-0.025472412568363176
time_signature_5,-0.02551347157870352
track_genre_power-pop,-0.02674144292533909
track_genre_german,-0.02736142090127583
track_genre_drum-and-bass,-0.027757869402892644
track_genre_j-dance,-0.027762086940142684
track_genre_hardstyle,-0.027901265669435744
track_genre_heavy-metal,-0.029575627958183772
track_genre_study,-0.0300732973538315
track_genre_bluegrass,-0.03189527344637191
track_genre_latino,-0.03197962419139622
track_genre_j-idol,-0.03598206704283699
track_genre_comedy,-0.036315252485688225
track_genre_opera,-0.03634477524644511
track_genre_afrobeat,-0.037281068516224314
track_genre_alternative,-0.037542555825802196
track_genre_reggaeton,-0.03956275616915226
valence,-0.040534294659945624
track_genre_dance,-0.04448883967861905
speechiness,-0.04492654926158708
track_genre_black-metal,-0.04550526615617009
time_signature_3,-0.04709048922137714
track_genre_happy,-0.04859672096134069
track_genre_party,-0.0516923933037589
track_genre_reggae,-0.05317696641620057
track_genre_breakbeat,-0.055315257802588044
track_genre_tango,-0.05637807718990346
track_genre_soul,-0.0566986100209993
track_genre_rock,-0.06004733459849403
track_genre_country,-0.06836853559522063
track_genre_honky-tonk,-0.0712069381653137
track_genre_idm,-0.073691067606302
track_genre_kids,-0.07739406531290256
track_genre_grindcore,-0.07850327760998399
track_genre_jazz,-0.08270816224948319
track_genre_classical,-0.08512481109445287
track_genre_chicago-house,-0.08814456776635048
track_genre_detroit-techno,-0.09305799866406139
instrumentalness,-0.09513920344466373
track_genre_latin,-0.10519185333591932
track_genre_romance,-0.12649885152925563
track_genre_iranian,-0.13086400258430364
